,index,val_loss,val_acc,loss,acc,fit_type,EPOCHS
0,0,0.7633047946198972,0.7999999963594768,0.7134481756630058,0.813622754847932,simple,0
1,1,0.8282463799693627,0.7976047872069353,0.593128960111184,0.8372754504580697,simple,1
2,2,0.8401879797438662,0.8095808420352593,0.5022095801319905,0.855988024594541,simple,2
3,3,0.8179088620011677,0.819161674647988,0.45300794565035196,0.8685628728238408,simple,3
4,4,0.8671535095054946,0.8179640708569281,0.3972066373792951,0.8890718540745581,simple,4
5,5,0.8465563867620365,0.8227544967999715,0.3692283220767618,0.8947604795415959,simple,5
6,6,0.9050319421791031,0.8095808420352593,0.33675610564961406,0.9089820366419717,simple,6
7,7,0.9028684340283543,0.8287425148986771,0.33051803961485443,0.9029940099059465,simple,7
8,8,0.9018776119826083,0.8263473049609247,0.292542712769644,0.9190119756196073,simple,8
9,9,0.931408435070586,0.822754489947222,0.2897389512085272,0.9140718559305111,simple,9
10,10,0.9101059274045293,0.8287425122575132,0.2628823121686182,0.9211077830748644,simple,10
11,11,0.9701730761699334,0.8311377240512186,0.24687307249910817,0.9288922137129093,simple,11
12,12,0.9849043069842333,0.8311377271920621,0.23249643256073582,0.9321856269579447,simple,12
13,13,0.9904967285201935,0.823952097021891,0.22167800301741697,0.931736524661858,simple,13
14,14,0.9715058135415265,0.8287425173970754,0.2058350072694039,0.939820358210695,simple,14
15,15,1.016543481092967,0.8203592826506335,0.20386518326638167,0.9405688610619414,simple,15
16,16,1.0594820297049905,0.8251496971010448,0.19677040557304543,0.9429640697148032,simple,16
17,17,1.008786144085273,0.8323353257007942,0.18537018067889408,0.944011972407381,simple,17
18,18,1.0627528453301527,0.8263472998213626,0.18539053439692466,0.950598798897452,simple,18
19,19,1.0570446243186198,0.8311377237656873,0.17692859638761171,0.9511976017209585,simple,19
20,20,1.0899935446590363,0.826347306674112,0.15981854069141482,0.9505987969701162,simple,20
21,21,1.1069840387669867,0.8215568886545603,0.16324124282538266,0.9513473016059327,simple,21
22,22,1.0905678083082873,0.823952097021891,0.14711278787574278,0.9564371223221282,simple,22
23,23,1.101856165307903,0.8239520925247741,0.14880415871627853,0.9592814342704362,simple,23
24,24,1.1103511967344912,0.8215568841574434,0.1359390430615289,0.960479036562457,simple,24
25,25,1.089125538443377,0.8299401221161117,0.14443408971273167,0.9594311340126449,simple,25
26,26,1.1353165353843553,0.8263473021769951,0.13566662920192776,0.9604790372762851,simple,26
27,27,1.1005934957258716,0.8323353300551455,0.13127426023868297,0.96227544588957,simple,27
28,28,1.1301354773208767,0.8191616772891519,0.11881166141881735,0.9631736482688766,simple,28
29,29,1.1304351356928934,0.8287425158266536,0.11491659868391466,0.9675149654913805,simple,29
30,30,1.1256368485753407,0.831137729833226,0.1069035782031213,0.966017959717505,simple,30
31,31,1.1658173779527585,0.8251496995994431,0.11442732546983209,0.9655688592059883,simple,31
32,32,1.1668605002814425,0.826347302605292,0.11550029943178514,0.9676646665898626,simple,32
33,33,1.1734825119286953,0.8239520934527506,0.1175698842462933,0.9670658633380593,simple,33
34,34,1.203853109925093,0.8203592815798914,0.1156250793704328,0.9661676603163074,simple,34
35,35,1.186525104859632,0.829940122758557,0.1099949850946174,0.968562870182677,simple,35
36,36,1.1825222950138732,0.8227544949440185,0.10292319166669232,0.9702095769836517,simple,36
37,37,1.2122647401101574,0.828742511186771,0.10050517314498475,0.970209577269183,simple,37
38,38,1.2084331109138307,0.8311377229804764,0.10164391124916602,0.9711077788632787,simple,38
39,39,1.1855615269638107,0.8347305356385465,0.09816757828906224,0.9726047852795995,simple,39
40,40,1.2378917815442572,0.8263473040329482,0.09626107281938329,0.9738023922115029,simple,40
41,41,1.210294451979463,0.8239520917395632,0.09251379774200931,0.9739520905260555,simple,41
42,42,1.2416741583161726,0.826347306674112,0.09755745610866338,0.9705089784667877,simple,42
43,43,1.2364824759103215,0.8263473048181591,0.08148331959386117,0.9751496973151932,simple,43
44,44,1.2014895723965353,0.8287425173970754,0.08706473875100708,0.976946103001783,simple,44
45,45,1.2410026698412295,0.8239520925247741,0.08012405617182104,0.9761976000791538,simple,45
46,46,1.2272331746038563,0.8287425164690988,0.07930779789036285,0.977544903755188,simple,46
